well,hydrolysate,yeast_soy,mu_max,saturation_time,lag_time
4,0.6,0,0.587993448,0 days 21:04:14,0 days 07:21:29
5,0.8,0,0.579924504,0 days 21:04:14,0 days 05:01:01
6,1,0,0.585665983,0 days 22:24:30,0 days 06:21:17
7,0,0,0.541123459,0 days 11:42:19,0 days 11:02:13
9,0.4,0,0.514909001,0 days 18:23:40,0 days 05:01:01
10,0.6,0,0.511693985,0 days 18:03:38,0 days 05:41:09
11,0.8,0,0.63368177,0 days 21:04:14,0 days 04:40:57
12,1,0,7.896416088,0 days 03:40:42,0 days 03:00:34
13,0,0.6,0.722176601,0 days 05:41:09,0 days 05:01:01
14,0.2,0.6,1.300453362,0 days 22:04:28,0 days 04:00:49
15,0.4,0.6,1.640957377,0 days 22:24:31,0 days 04:00:49
16,0.6,0.6,0.504548852,1 days 01:25:09,0 days 04:00:49
17,0.8,0.6,0.633756388,0 days 01:40:19,0 days 01:20:16
18,1,0.6,1.568619964,1 days 00:24:55,0 days 04:40:57
19,0,0.6,1.82095868,0 days 14:22:54,0 days 06:21:17
20,0.2,0.6,1.092163298,0 days 20:44:11,0 days 05:01:01
21,0.4,0.6,1.62115045,0 days 23:24:44,0 days 04:20:53
22,0.6,0.6,1.624398711,1 days 00:04:51,0 days 04:20:53
23,0.8,0.6,1.639021301,0 days 23:44:46,0 days 04:20:53
24,1,0.6,0.599080617,0 days 07:21:27,0 days 07:01:24
25,0,1.2,1.272765565,0 days 17:43:35,0 days 04:00:49
26,0.2,1.2,1.910407915,0 days 23:24:44,0 days 03:40:45
27,0.4,1.2,2.086358784,1 days 01:05:03,0 days 04:20:53
28,0.6,1.2,2.33757297,0 days 22:24:31,0 days 04:20:53
29,0.8,1.2,2.272788342,1 days 00:24:54,0 days 04:20:53
30,1,1.2,2.324996263,1 days 07:06:15,0 days 04:20:53
31,0,1.2,1.297171848,0 days 20:24:07,0 days 04:20:53
32,0.2,1.2,0.524674946,1 days 00:04:53,0 days 03:40:45
33,0.4,1.2,2.137447127,1 days 00:24:54,0 days 04:00:49
34,0.6,1.2,2.308630926,0 days 23:24:42,0 days 04:00:49
35,0.8,1.2,2.465428107,1 days 00:04:50,0 days 04:20:53
36,1,1.2,0.655209689,0 days 09:41:57,0 days 04:20:53
37,0,1.8,1.785155673,0 days 14:22:54,0 days 04:00:49
38,0.2,1.8,2.272708093,0 days 22:24:31,0 days 03:40:45
39,0.4,1.8,2.53699058,0 days 23:24:43,0 days 04:00:49
