,culture_plate,culture_well,dilutant_plate,dilutant_well,destination,destination_well,culture_volume,dilutant_volume,row,column,platerowcol
A1,CELL PLATE,A1,MEDIA,4,Intermediate,A1,0.0,192.0,A,1,CELL PLATEIntermediate1
B1,CELL PLATE,B1,MEDIA,4,Intermediate,B1,0.0,192.0,B,1,CELL PLATEIntermediate1
C1,CELL PLATE,C1,MEDIA,4,Intermediate,C1,39.49533715730226,152.50466284269777,C,1,CELL PLATEIntermediate1
D1,CELL PLATE,D1,MEDIA,4,Intermediate,D1,59.19835462391581,132.8016453760842,D,1,CELL PLATEIntermediate1
E1,CELL PLATE,E1,MEDIA,4,Intermediate,E1,37.98720671841812,154.01279328158188,E,1,CELL PLATEIntermediate1
F1,CELL PLATE,F1,MEDIA,4,Intermediate,F1,31.299243337358675,160.7007566626413,F,1,CELL PLATEIntermediate1
G1,CELL PLATE,G1,MEDIA,4,Intermediate,G1,34.71761689816775,157.28238310183224,G,1,CELL PLATEIntermediate1
H1,CELL PLATE,H1,MEDIA,4,Intermediate,H1,93.64331115700475,98.35668884299525,H,1,CELL PLATEIntermediate1
A2,CELL PLATE,A2,MEDIA,4,Intermediate,A2,0.0,192.0,A,2,CELL PLATEIntermediate2
B2,CELL PLATE,B2,MEDIA,4,Intermediate,B2,0.0,192.0,B,2,CELL PLATEIntermediate2
C2,CELL PLATE,C2,MEDIA,4,Intermediate,C2,39.97224202556295,152.02775797443704,C,2,CELL PLATEIntermediate2
D2,CELL PLATE,D2,MEDIA,4,Intermediate,D2,63.82271258442688,128.17728741557312,D,2,CELL PLATEIntermediate2
E2,CELL PLATE,E2,MEDIA,4,Intermediate,E2,37.4829192345472,154.51708076545282,E,2,CELL PLATEIntermediate2
F2,CELL PLATE,F2,MEDIA,4,Intermediate,F2,31.902519604130998,160.097480395869,F,2,CELL PLATEIntermediate2
G2,CELL PLATE,G2,MEDIA,4,Intermediate,G2,40.01389618923483,151.9861038107652,G,2,CELL PLATEIntermediate2
