,culture_plate,culture_well,dilutant_plate,dilutant_well,destination,destination_well,culture_volume,dilutant_volume,row,column,platerowcol
A1,CELL PLATE,A1,MEDIA,4,Intermediate,A1,150.0,0.0,A,1,CELL PLATEIntermediate1
B1,CELL PLATE,B1,MEDIA,4,Intermediate,B1,150.0,0.0,B,1,CELL PLATEIntermediate1
C1,CELL PLATE,C1,MEDIA,4,Intermediate,C1,87.3974994402116,62.602500559788396,C,1,CELL PLATEIntermediate1
D1,CELL PLATE,D1,MEDIA,4,Intermediate,D1,130.66623505622408,19.333764943775932,D,1,CELL PLATEIntermediate1
E1,CELL PLATE,E1,MEDIA,4,Intermediate,E1,98.1699195714288,51.8300804285712,E,1,CELL PLATEIntermediate1
F1,CELL PLATE,F1,MEDIA,4,Intermediate,F1,79.05523969506677,70.94476030493323,F,1,CELL PLATEIntermediate1
G1,CELL PLATE,G1,MEDIA,4,Intermediate,G1,103.91276109260107,46.08723890739892,G,1,CELL PLATEIntermediate1
H1,CELL PLATE,H1,MEDIA,4,Intermediate,H1,121.87782060204917,28.12217939795082,H,1,CELL PLATEIntermediate1
A2,CELL PLATE,A2,MEDIA,4,Intermediate,A2,150.0,0.0,A,2,CELL PLATEIntermediate2
B2,CELL PLATE,B2,MEDIA,4,Intermediate,B2,150.0,0.0,B,2,CELL PLATEIntermediate2
C2,CELL PLATE,C2,MEDIA,4,Intermediate,C2,101.60561801805689,48.39438198194312,C,2,CELL PLATEIntermediate2
D2,CELL PLATE,D2,MEDIA,4,Intermediate,D2,150.0,0.0,D,2,CELL PLATEIntermediate2
E2,CELL PLATE,E2,MEDIA,4,Intermediate,E2,106.36900996365716,43.63099003634283,E,2,CELL PLATEIntermediate2
F2,CELL PLATE,F2,MEDIA,4,Intermediate,F2,78.84746278235433,71.15253721764567,F,2,CELL PLATEIntermediate2
G2,CELL PLATE,G2,MEDIA,4,Intermediate,G2,105.33160185970178,44.66839814029824,G,2,CELL PLATEIntermediate2
H2,CELL PLATE,H2,MEDIA,4,Intermediate,H2,124.29031597909602,25.70968402090397,H,2,CELL PLATEIntermediate2
A3,CELL PLATE,A3,MEDIA,4,Intermediate,A3,150.0,0.0,A,3,CELL PLATEIntermediate3
B3,CELL PLATE,B3,MEDIA,4,Intermediate,B3,150.0,0.0,B,3,CELL PLATEIntermediate3
C3,CELL PLATE,C3,MEDIA,4,Intermediate,C3,91.79510169343527,58.20489830656473,C,3,CELL PLATEIntermediate3
D3,CELL PLATE,D3,MEDIA,4,Intermediate,D3,139.29493107517652,10.705068924823475,D,3,CELL PLATEIntermediate3
E3,CELL PLATE,E3,MEDIA,4,Intermediate,E3,106.70531606616915,43.29468393383087,E,3,CELL PLATEIntermediate3
F3,CELL PLATE,F3,MEDIA,4,Intermediate,F3,77.5119613135342,72.48803868646579,F,3,CELL PLATEIntermediate3
G3,CELL PLATE,G3,MEDIA,4,Intermediate,G3,102.57059381772122,47.429406182278775,G,3,CELL PLATEIntermediate3
H3,CELL PLATE,H3,MEDIA,4,Intermediate,H3,106.78971254713234,43.21028745286766,H,3,CELL PLATEIntermediate3
A4,CELL PLATE,A4,MEDIA,4,Intermediate,A4,88.95234247723312,61.04765752276688,A,4,CELL PLATEIntermediate4
B4,CELL PLATE,B4,MEDIA,4,Intermediate,B4,72.18607875599568,77.81392124400432,B,4,CELL PLATEIntermediate4
C4,CELL PLATE,C4,MEDIA,4,Intermediate,C4,77.44526422718194,72.55473577281808,C,4,CELL PLATEIntermediate4
